COUNTRY,COUNTRY_CODE,YEAR,Partyfacs_ID,ABBREVIATION,PARTY_NAME_ENGLISH,PARTY_NAME,FOUNDED,PERSON,WIKIPEDIA,WEBSITE_NATIONAL,WEBSITE_NATIONAL_SUBPAGE_EU,WEBSITE_EU,WEBSITE_EUGROUP_SUBPAGE,EU_GROUP,TWITTER_NATIONAL,FB_NATIONAL,INSTA_NATIONAL,TIKTOK_NATIONAL,TIKTOK_NAT_DISPLAY_NAME,YT_NATIONAL,TWITTER_EU,FB_EU,INSTA_EU,TIKTOK_EU,TIKTOK_EU_DISPLAY_NAME,YT_EU,YT_EU_BIO_HANDLE,YT_EU_ID
Belgium,2,2024,36,N-VA,New Flemish Alliance,Nieuw-Vlaamse Alliantie,2001,NA,https://en.wikipedia.org/wiki/New_Flemish_Alliance,https://www.n-va.be,NA,https://english.n-va.be/european-parliament,https://ecrgroup.eu/ecr/party/new_flemish_alliance,ECR,@de_NVA,nieuwvlaamsealliantie,de_nva,@de_nva,de_nva,@NvaBeVlaanderen,@NVA_EU,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,NA,Open VLD,Party of Liberty and Progress | Flemish Liberals and Democrats,Open Vlaamse Liberalen en Democraten,1992,NA,https://en.wikipedia.org/wiki/Open_Flemish_Liberals_and_Democrats,https://www.openvld.be,https://www.openvld.be/europa_alde_partij,NA,https://www.reneweuropegroup.eu/parties/open-vlaamse-liberalen-en-democraten,Renew,@openvld,openvld,openvld,@openvld,OpenVld,@openvld,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,NA,PFF,Perspectives. Freedom. Progress.,Perspektiven. Freiheit. Fortschritt.,1961,NA,https://en.wikipedia.org/wiki/Perspectives._Freedom._Progress.,https://www.pff.be/,NA,NA,NA,NA,NA,pffostbelgien,pffostbelgien,NA,NA,@PFFOstbelgien,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,NA,ProDG,Pro German-speaking Community,Pro Deutschsprachige Gemeinschaft,2008,NA,https://en.wikipedia.org/wiki/ProDG_(Belgium),https://prodg.be/,NA,NA,NA,NA,@ProDG_Be,prodg.be,prodg.be,NA,NA,@prodgdiefreieburgerlisteos8238,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,500,PS,Socialist Party,"Parti Socialiste, Socialistische Partij, Sozialistische Partei",1978,NA,https://en.wikipedia.org/wiki/Socialist_Party_(Belgium),https://www.ps.be,https://www.ps.be/parlement_europeen_main,NA,https://www.socialistsanddemocrats.eu/who-we-are/our-political-family/our-national-parties,S&D,@PSofficiel,psofficiel,psbelgique,@psbelgique,Parti Socialiste 🌹🇧🇪,@psbelgique,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,1753,PTB.PVDA,Workers' Party of Belgium,Partij van de Arbeid,1979,NA,https://en.wikipedia.org/wiki/Workers%27_Party_of_Belgium,https://www.pvda.be,NA,NA,https://left.eu/groups/delegation/parti-du-travail-de-belgique/,GUE-NGL,@pvdabelgie,pvdabelgie,pvdabelgie,@pvdabelgie,pvdabelgie,@pvdabelgie,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,1969,VB,Flemish Block,Vlaams Belang,2004,NA,https://en.wikipedia.org/wiki/Vlaams_Belang,https://www.vlaamsbelang.org,https://www.vlaamsbelang.org/een-vrij-europa,NA,https://www.idgroup.eu/vlaams_belang,ID,@vlbelang,vlbelang,vlaamsbelang,@vlaams_belang,Vlaams Belang,@vlaamsbelang,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,NA,Volt,Volt Belgium,"Volt België, Volt Belgique, Volt Belgien",2018,NA,https://en.wikipedia.org/wiki/Volt_Belgium,https://voltbelgium.org/,https://voltbelgium.org/policies/eu-citizen-participation,https://volteuropa.org/,NA,NA,@VoltBelgium,VoltBelgium,voltbelgium,@voltbelgium,Volt Belgium,@voltbelgium,@VoltEuropa,VoltEuropa,volteuropa,@volteuropa,Volt Europa,@VoltEuropa,@VoltEuropa,UCj2Y3zJRCP-xYNaMwwAdSmA
Belgium,2,2024,NA,Vooruit,Onward (formerly SP.A),Vooruit (formerly SP.A),1978,NA,https://en.wikipedia.org/wiki/Vooruit_(political_party),https://www.vooruit.org,NA,NA,https://www.socialistsanddemocrats.eu/who-we-are/our-political-family/our-national-parties,S&D,@vooruit_nu,vooruit.nu,vooruit.nu,@vooruit.nu,Vooruit,@Vooruitnu,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2019,3187,ABV,Alternative for Bulgarian Revival,Alternativa za balgarsko vazrazhdane,2014,NA,https://en.wikipedia.org/wiki/Alternative_for_Bulgarian_Revival,https://abv-alternativa.bg/,NA,NA,NA,NA,abvorg,ABV.alternativa,NA,NA,NA,@user-hu3fl6te9b,NA,NA,NA,NA,NA,NA,NA,NA
